Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_miss      # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that missed          
fe__output_ops_type_bundle_cmd_go_idle                                      # of GO_IDLE bundles sent to GR from FE                                                             
lts__t_sectors_srcunit_l1_op_write                                          # of LTS sectors from unit L1 for writes                                                            
lts__t_requests_srcunit_tex_aperture_device_lookup_hit                      # of LTS requests from unit TEX accessing device memory (vidmem) that hit                        
l1tex__t_sectors_pipe_tex_mem_texture_op_ld                                 # of sectors requested for TLD instructions                                                      
lts__t_sectors_aperture_peer_lookup_hit                                     # of LTS sectors accessing peer memory (peermem) that hit                                        
lts__t_sectors_srcunit_l1_aperture_peer_op_red_lookup_miss                  # of LTS sectors from unit L1 accessing peer memory (peermem) for reductions that missed         
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture_op_ld                   # of sectors requested for TLD instructions                                                      
lts__t_requests_srcunit_tex_aperture_device_op_read_lookup_miss             # of LTS requests from unit TEX accessing device memory (vidmem) for reads that missed           
lts__t_requests_aperture_sysmem_op_atom_dot_cas                             # of LTS requests accessing system memory (sysmem) for atomic CAS                                
lts__t_requests_aperture_device_op_read_lookup_miss                         # of LTS requests accessing device memory (vidmem) for reads that missed                         
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit                        # of sector requests to T-Stage with tag-hit and data-hit for local loads                        
smsp__sass_thread_inst_executed_op_dadd_pred_on                             # of DADD thread instructions executed where all predicates were true                            
l1tex__t_bytes_pipe_tex_lookup_miss                                         # of bytes requested that missed for TEX pipe                                                    
lts__t_sectors_aperture_peer_op_write                                       # of LTS sectors accessing peer memory (peermem) for writes                                      
smsp__pipe_fma_cycles_active                                                # of cycles where fma pipe was active                                                            
l1tex__t_requests                                                           # of requests sent to T-Stage                                                                    
l1tex__t_set_accesses_pipe_tex_mem_surface_op_red                           # of cache set accesses for surface reductions                                                   
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_miss                      # of LTS sectors from unit TEX accessing system memory (sysmem) that missed                      
lts__t_requests_srcunit_tex_op_read_lookup_miss                             # of LTS requests from unit TEX for reads that missed                                            
lts__t_sectors_srcunit_l1_aperture_device_op_membar                         # of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers               
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_hit              # of LTS requests from unit L1 accessing system memory (sysmem) for writes that hit              
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_lookup_miss               # of LTS sectors from unit L1 accessing system memory (sysmem) for all atomics that missed       
smsp__inst_executed_op_generic_atom_dot_cas_pred_off_all                    # of warp instructions executed with all threads predicated off: ATOM.CAS, ATOMG.CAS             
l1tex__t_sectors_pipe_tex_mem_surface_op_red                                # of sectors requested for surface reductions                                                    
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss                      # of sector requests to T-Stage that missed for global loads                                     
smsp__inst_executed_op_surface_st                                           # of warp instructions executed: SUST                                                            
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st                            # of STS wavefronts processed by Data-Stage                                                      
l1tex__m_l1tex2xbar_req_cycles_stalled                                      # of cycles where interface from L1TEX M-Stage to XBAR was stalled                               
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_ld                           # of extra cycles spent on set conflicts for surface loads                                       
smsp__cycles_in_region                                                      # of cycles in user-defined region                                                               
gpc__cycles_elapsed                                                         # of cycles where GPC was active                                                                 
lts__t_sectors_aperture_peer_op_membar_lookup_miss                          # of LTS sectors accessing peer memory (peermem) for memory barriers that missed                 
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_miss              # of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics that missed      
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas                   # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS                    
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld                        # of wavefronts sent to Data-Stage from T-Stage for global loads                                 
lts__t_requests_srcunit_l1_aperture_sysmem_op_membar                        # of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers              
lts__t_requests_srcunit_tex_aperture_device_op_red                          # of LTS requests from unit TEX accessing device memory (vidmem) for reductions                  
lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu                    # of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)          
lts__t_sectors_aperture_peer_op_membar_lookup_hit                           # of LTS sectors accessing peer memory (peermem) for memory barriers that hit                    
lts__t_requests_srcunit_tex_aperture_peer                                   # of LTS requests from unit TEX accessing peer memory (peermem)                                  
lts__t_requests_srcunit_l1_aperture_sysmem                                  # of LTS requests from unit L1 accessing system memory (sysmem)                                  
